,title,price,stars,sales,disc
260,"Redmi Note 12 Pro 5G (Glacier Blue, 8GB RAM, 256GB ROM)",21200,3.8,72,34.0
261,"Itel P40+ (4GB RAM+128GB ROM, 8GB* RAM with Memory Fusion | 13MP AI Rear Camera | 7000mAh Battery with 18W Fast Charging | 6.8"" HD+ IPS Punch Hole 90Hz Diplay | Faceunlock & Fingerprint - Ice Cyan",7999,3.7,164,17.0
262,"Motorola G82 5G (White Lily, 8GB RAM, 128GB Storage)",22799,3.7,54,12.0
263,"Samsung F14 5G (OMG Black, 6GB RAM, 128GB Storage)",13824,3.6,3,25.0
264,Nokia C22 | 3-Day Battery Life | 4GB RAM (2GB RAM + 2GB Virtual RAM) | 13 MP Dual Rear AI Camera with Night & Portrait Mode | IP52 | Purple,7499,3.8,471,17.0
265,"realme GT Neo 3 (150W) (Asphalt Black, 12GB RAM, 256GB Storage)",26950,5.0,1,41.0
266,"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",18999,4.0,603,24.0
269,"Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Black",4449,3.8,2716,25.0
271,"Samsung Galaxy Note10+ (Aura Black, 12GB RAM, 256GB Storage)",53800,4.2,686,46.0
360,"realme C30s (Stripe Blue, 2GB RAM, 32GB Storage)",6491,3.2,15,35.0
362,"realme C30s (Stripe Black, 2GB RAM, 32GB Storage)",6489,2.5,6,35.0
364,"Samsung Galaxy S23 5G (Phantom Black, 8GB, 128GB Storage)",74999,4.5,913,17.0
365,"iQOO 11 5G (Alpha, 16GB RAM, 256 GB Storage) | Snapdragon Â® 8 Gen 2 Mobile Platform | 2K E6 AMOLED Display | V2 Intelligent Display Chip",54999,4.3,938,18.0
366,"vivo Y100A 5G (Twilight Gold, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",21999,4.2,9,27.0
367,"Samsung Galaxy S21 Plus 5G (Phantom Black, 8GB RAM, 128GB Storage)",47899,4.0,524,53.0
370,"Lava Yuva 2 (3 GB RAM, UFS 2.2 64GB Storage) - Glass Blue|Unisoc T606 Octa Core Processor| 90 Hz Refresh Rate|Side Fingerprint Sensor|13MP Dual AI Camera| 5000 mAh Battery| Upto 6GB Expandable RAM",6999,4.3,22,18.0
371,"Samsung Galaxy Z Flip5 5G (Mint, 8GB RAM, 512GB Storage)",109999,4.0,112,4.0
372,"Realme 10 (Clash White, 64 GB) (4 GB RAM)",10999,3.9,194,31.0
373,Mi 11X Cosmic Black 6GB RAM 128GB ROM Storage 5G | SD 870 | DisplayMate A+ rated 120Hz E4 AMOLED | 48MP Sony sensor,21749,4.1,8494,36.0
374,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",9199,4.1,28269,39.0
375,"Vivo V23 5G(Sunshine Gold, 12GB RAM, 256GB Storage)",33900,4.1,700,11.0
376,"Samsung Galaxy S23 5G (Lavender, 8GB, 128GB Storage)",74999,4.5,913,17.0
377,"Redmi 12C (Lavender Purple, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",6999,3.9,8446,50.0
